task_id,mutation_type,pcpn_accepts,compiler_pass
bench_assoc_type_01,delete_drop,False,True
bench_assoc_type_01,reuse_moved,False,False
bench_cap_alias_diff_cap_01,delete_drop,False,True
bench_cap_alias_diff_cap_01,reuse_moved,False,True
bench_cap_copy_reuse_01,delete_drop,False,True
bench_cap_copy_reuse_01,reuse_moved,False,True
bench_cap_freeze_unfreeze_01,delete_drop,False,True
bench_cap_freeze_unfreeze_01,reuse_moved,False,True
bench_cap_move_vs_copy_01,delete_drop,False,True
bench_cap_move_vs_copy_01,reuse_moved,False,True
bench_cap_own_frz_blk_01,delete_drop,False,True
bench_cap_own_frz_blk_01,reuse_moved,False,True
bench_copy_clone_01,delete_drop,False,True
bench_copy_clone_01,reuse_moved,False,True
bench_ctor_chain_01,delete_drop,False,True
bench_ctor_chain_01,reuse_moved,False,False
bench_drop_unfreeze_01,delete_drop,False,True
bench_drop_unfreeze_01,reuse_moved,False,True
bench_lifetime_nest_01,delete_drop,False,True
bench_lifetime_nest_01,reuse_moved,False,True
bench_mixed_ambig_provider_01,delete_drop,False,True
bench_mixed_ambig_provider_01,reuse_moved,False,True
bench_mixed_ctor_borrow_proj_01,delete_drop,False,True
bench_mixed_ctor_borrow_proj_01,reuse_moved,False,True
bench_mixed_long_chain_01,delete_drop,False,True
bench_mixed_long_chain_01,reuse_moved,False,True
bench_move_copy_01,delete_drop,False,True
bench_move_copy_01,reuse_moved,False,True
bench_multi_borrow_01,delete_drop,False,True
bench_multi_borrow_01,reuse_moved,False,True
bench_mut_borrow_01,delete_drop,False,True
bench_mut_borrow_01,reuse_moved,False,False
bench_mut_reborrow_01,delete_drop,False,True
bench_mut_reborrow_01,reuse_moved,False,False
bench_obl_assoc_decides_01,delete_drop,False,True
bench_obl_assoc_decides_01,swap_borrow_kind,False,False
bench_obl_assoc_decides_01,reuse_moved,False,True
bench_obl_distractor_shape_01,delete_drop,False,True
bench_obl_distractor_shape_01,reuse_moved,False,True
bench_obl_generic_method_01,delete_drop,False,True
bench_obl_generic_method_01,swap_borrow_kind,False,False
bench_obl_generic_method_01,reuse_moved,False,True
bench_obl_trait_gate_01,delete_drop,False,True
bench_obl_trait_gate_01,swap_borrow_kind,False,False
bench_obl_trait_gate_01,reuse_moved,False,True
bench_proj_move_01,delete_drop,False,True
bench_proj_move_01,reuse_moved,False,False
bench_shared_borrow_01,delete_drop,False,True
bench_shared_borrow_01,reuse_moved,False,True
bench_shr_from_mut_01,delete_drop,False,True
bench_shr_from_mut_01,reuse_moved,False,True
bench_stack_discharge_order_01,delete_drop,False,True
bench_stack_discharge_order_01,reuse_moved,False,True
bench_stack_last_reader_01,delete_drop,False,True
bench_stack_last_reader_01,reuse_moved,False,True
bench_stack_nested_scope_01,delete_drop,False,True
bench_stack_nested_scope_01,reuse_moved,False,True
bench_stack_reborrow_depth_01,delete_drop,False,True
bench_stack_reborrow_depth_01,reuse_moved,False,True
bench_stack_shr_then_mut_01,delete_drop,False,True
bench_stack_shr_then_mut_01,reuse_moved,False,True
bench_trait_bound_01,delete_drop,False,True
bench_trait_bound_01,reuse_moved,False,False
bench_tuple_flow_01,delete_drop,False,True
bench_tuple_flow_01,reuse_moved,False,True
bench_typeonly_borrow_kind_01,delete_drop,False,True
bench_typeonly_borrow_kind_01,reuse_moved,False,True
bench_typeonly_cap_trap_01,delete_drop,False,True
bench_typeonly_cap_trap_01,reuse_moved,False,True
bench_typeonly_dead_provider_01,delete_drop,False,True
bench_typeonly_dead_provider_01,reuse_moved,False,True
