task_id,fragment,variant,pcpn_decision,emit_status,compiler_status,root_cause,fixed_or_not,final_bucket
bench_assoc_type_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_assoc_type_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_assoc_type_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_alias_diff_cap_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_alias_diff_cap_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_alias_diff_cap_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_copy_reuse_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_copy_reuse_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_copy_reuse_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_freeze_unfreeze_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_freeze_unfreeze_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_freeze_unfreeze_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_move_vs_copy_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_move_vs_copy_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_move_vs_copy_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_own_frz_blk_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_own_frz_blk_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_cap_own_frz_blk_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_copy_clone_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_copy_clone_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_copy_clone_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_ctor_chain_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_ctor_chain_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_ctor_chain_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_drop_unfreeze_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_drop_unfreeze_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_drop_unfreeze_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_lifetime_nest_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_lifetime_nest_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_lifetime_nest_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_ambig_provider_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_ambig_provider_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_ambig_provider_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_ctor_borrow_proj_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_ctor_borrow_proj_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_ctor_borrow_proj_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_long_chain_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_long_chain_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mixed_long_chain_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_move_copy_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_move_copy_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_move_copy_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_multi_borrow_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_multi_borrow_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_multi_borrow_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mut_borrow_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mut_borrow_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mut_borrow_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mut_reborrow_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mut_reborrow_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_mut_reborrow_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_assoc_decides_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_assoc_decides_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_assoc_decides_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_distractor_shape_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_distractor_shape_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_distractor_shape_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_generic_method_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_generic_method_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_generic_method_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_trait_gate_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_trait_gate_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_obl_trait_gate_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_proj_move_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_proj_move_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_proj_move_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_shared_borrow_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_shared_borrow_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_shared_borrow_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_shr_from_mut_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_shr_from_mut_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_shr_from_mut_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_discharge_order_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_discharge_order_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_discharge_order_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_last_reader_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_last_reader_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_last_reader_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_nested_scope_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_nested_scope_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_nested_scope_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_reborrow_depth_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_reborrow_depth_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_reborrow_depth_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_shr_then_mut_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_shr_then_mut_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_stack_shr_then_mut_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_trait_bound_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_trait_bound_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_trait_bound_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_tuple_flow_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_tuple_flow_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_tuple_flow_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_borrow_kind_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_borrow_kind_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_borrow_kind_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_cap_trap_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_cap_trap_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_cap_trap_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_dead_provider_01_pos_0,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_dead_provider_01_pos_1,core_emit,Full,accept,success,pass,,not_fixed,core_valid
bench_typeonly_dead_provider_01_pos_2,core_emit,Full,accept,success,pass,,not_fixed,core_valid
